# list of object assets to load in this scene
[ASSETS]
mario.txt
coin.txt
ground.txt
brick.txt
tree.txt
cloud.txt
colorblock.txt
#
[OBJECTS]
# type	x	y	extra_settings per object type
# type: 0 = Mario , 1 = Brick, 2 = Goomba, 3 = Koopas
# See OBJECT_TYPE constants in AssetIDs.h

# MARIO
0	120	10

#Platform
5 	0	194	16	16	39	51000	52000	53000
5	624	194	16	16	29	54000	55000	56000
5	624	178	16	16	29	51000	52000	53000
5	1152	194	16	16	22	51000	52000	53000
5	1536	194	16	16	5	51000	52000	53000

#Tree
6	16	178	63000
6	32	178	64000
6	48	178	64000
6	64	178	64000
6	80	178	67000
6	96	178	66000
6	112	178	64000
6	128	178	65000

6	16	162	63000
6	32	162	67000
6	48	162	66000
6	64	162	64000
6	80	162	65000
6	96	162	63000
6	112	162	67000
6	128	162	62000

6	16	146	61000
6	32	146	66000
6	48	146	65000
6	64	146	61000
6	80	146	62000
6	96	146	61000
6	112	146	62000

6	32	130	61000
6	48	130	62000

#Bush
6	160	178	68000
6	176	178	68000	
6	192	178	68000

#Cloud
7	112	50	71000
7	128	50	72000
7	144	50	72000
7	160	50	73000

7	112	66	74000
7	128	66	75000
7	144	66	75000
7	160	66	76000

#ColorBlock

#pink

8	240	178	82007
8	256	178	82008
8	272	178	82009
8	240	162	82004
8	256	162	82005
8	272	162	82006
8	240	146	82001
8	256	146	82002
8	272	146	82003

#blue

8	288	178	83008
8	304	178	83009
8	288	162	83005
8	304	162	83006
8	288	146	83005
8	304	146	83006
8	272	130	83004
8	288	130	83005
8	304	130	83006
8	272	114	83001
8	288	114	83002
8	304	114	83003

#Portal 

